Rk,Player,School,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts
1,Gabe Brkic*,Oklahoma,Big 12,11,52,52,100,17,17,100,103
2,Jake Koehnke*,Air Force,MWC,13,51,55,92.7,13,13,100,90
3,Nick Sciba*,Wake Forest,ACC,13,47,47,100,24,25,96,119
4,Jonathan Song,Texas Christian,Big 12,12,39,39,100,23,24,95.8,108
5,Blake Mazza*,Washington State,Pac-12,13,55,57,96.5,20,21,95.2,115
6,Riley Patterson*,Memphis,American,14,65,66,98.5,23,25,92,134
7,Trey Wolff,Texas Tech,Big 12,12,40,41,97.6,20,22,90.9,100
8,Blake Lynch*,Kansas State,Big 12,13,46,46,100,19,21,90.5,103
9,Peyton Henry*,Washington,Pac-12,13,49,49,100,19,21,90.5,106
10,Evan McPherson*,Florida,SEC,13,47,48,97.9,17,19,89.5,98
11,Dylan Barnas*,UCF,American,13,69,70,98.6,15,17,88.2,114
12,Christopher Dunn,North Carolina State,ACC,12,28,28,100,21,24,87.5,91
13,Dominik Eberle*,Utah State,MWC,13,45,45,100,21,24,87.5,108
14,Samuel Sloman*,Miami (OH),MAC,14,34,35,97.1,26,30,86.7,112
15,Blake Haubeil*,Ohio State,Big Ten,14,85,85,100,13,15,86.7,124
16,Blake Grupe*,Arkansas State,Sun Belt,13,53,53,100,19,22,86.4,110
17,Justin Rohrwasser*,Marshall,CUSA,13,35,36,97.2,18,21,85.7,89
18,Keith Duncan*,Iowa,Big Ten,13,32,32,100,29,34,85.3,119
19,Matthew Trickett*,Kent State,MAC,13,39,39,100,29,34,85.3,126
20,Brent Cimaglia*,Tennessee,SEC,13,35,35,100,23,27,85.2,104
21,Christian Zendejas*,Arizona State,Pac-12,13,29,30,96.7,23,27,85.2,98
22,Andre Szmyt,Syracuse,ACC,12,39,40,97.5,17,20,85,90
23,Jonathan Doerer*,Notre Dame,Ind,13,57,57,100,17,20,85,108
24,Matt Araiza*,San Diego State,MWC,13,28,28,100,22,26,84.6,94
25,John Mayers*,Baylor,Big 12,14,53,53,100,16,19,84.2,101
26,Brandon Talton*,Nevada,MWC,13,27,28,96.4,21,25,84,90
27,Brian Delaney*,Virginia,ACC,14,50,52,96.2,20,24,83.3,110
28,Dalton Witherspoon,Houston,American,12,40,40,100,20,24,83.3,100
29,Matthew Mercurio,San Jose State,MWC,12,37,39,94.9,20,24,83.3,97
30,AJ Reed,Duke,ACC,12,34,34,100,15,18,83.3,79
31,Bailey Hale*,Louisiana Tech,CUSA,13,53,53,100,15,18,83.3,98
32,Jake Verity,East Carolina,American,12,33,33,100,24,29,82.8,105
33,Brian Johnson*,Virginia Tech,ACC,13,48,48,100,19,23,82.6,105
34,Nick Vogel*,UAB,CUSA,13,37,37,100,19,23,82.6,94
35,Chase McGrath*,USC,Pac-12,13,54,54,100,14,17,82.4,96
36,Eric Sachse*,Boise State,MWC,14,61,62,98.4,14,17,82.4,103
37,Rodrigo Blankenship*,Georgia,SEC,14,46,46,100,27,33,81.8,127
38,Andrew Stein*,Southern Mississippi,CUSA,13,34,37,91.9,18,22,81.8,88
39,Parker White,South Carolina,SEC,12,25,25,100,18,22,81.8,79
40,Gavin Baechle,UTEP,CUSA,12,22,22,100,13,16,81.3,61
41,J.D. Dillinger,Purdue,Big Ten,11,35,35,100,13,16,81.3,74
42,Logan Justus*,Indiana,Big Ten,13,45,47,95.7,17,21,81,96
43,Ethan Mooney,North Texas,CUSA,12,43,44,97.7,16,20,80,91
44,Louie Zervos*,Ohio,MAC,13,54,54,100,16,20,80,102
45,Connor Assalley*,Iowa State,Big 12,13,49,51,96.1,15,19,78.9,94
46,Crews Holt,Middle Tennessee State,CUSA,12,35,36,97.2,11,14,78.6,68
47,Daniel Gutierrez,UNLV,MWC,12,35,36,97.2,11,14,78.6,68
48,Will Mobley*,Temple,American,13,38,41,92.7,11,14,78.6,71
49,Seth Small*,Texas A&M,SEC,13,46,46,100,18,23,78.3,100
50,Cade York*,LSU,SEC,15,89,93,95.7,21,27,77.8,152
51,Cameron Dicker*,Texas,Big 12,13,56,57,98.2,14,18,77.8,98
52,John Richardson,Northern Illinois,MAC,12,30,30,100,14,18,77.8,72
53,Tyler Sumpter,Troy,Sun Belt,12,46,46,100,14,18,77.8,88
54,Matt Ammendola*,Oklahoma State,Big 12,13,48,49,98,20,26,76.9,108
55,Jonathan Cruz*,Charlotte,CUSA,13,41,44,93.2,10,13,76.9,71
56,Kevin Robledo*,SMU,American,11,42,45,93.3,10,13,76.9,72
57,Quinn Nordin*,Michigan,Big Ten,10,28,29,96.6,10,13,76.9,58
58,Merek Glover*,Tulane,American,13,51,51,100,13,17,76.5,90
59,Massimo Biscardi,Coastal Carolina,Sun Belt,12,34,36,94.4,15,20,75,79
60,Nick Rice,Old Dominion,CUSA,12,18,18,100,15,20,75,63
61,Andrew Shelley,New Mexico,MWC,12,25,30,83.3,12,16,75,61
62,Jet Toner,Stanford,Pac-12,7,13,13,100,12,16,75,49
63,Chad Ryland*,Eastern Michigan,MAC,13,35,38,92.1,14,19,73.7,77
64,Connor Limpert,Arkansas,SEC,12,29,30,96.7,14,19,73.7,71
65,Sam Crosa*,Cincinnati,American,14,51,51,100,14,19,73.7,93
66,Justin Davidovicz,Rutgers,Big Ten,8,18,18,100,11,15,73.3,51
67,Stevie Artigue*,Louisiana,Sun Belt,14,65,66,98.5,16,22,72.7,113
68,Tucker McCann,Missouri,SEC,12,34,36,94.4,16,22,72.7,82
69,Jose Borregales*,Florida International,CUSA,13,37,39,94.9,21,29,72.4,100
70,Joshua Rowland,Texas State,Sun Belt,12,23,23,100,13,18,72.2,62
71,Anders Carlson*,Auburn,SEC,13,48,49,98,18,25,72,102
72,Tyler Bass*,Georgia Southern,Sun Belt,13,36,36,100,20,28,71.4,96
73,Charlie Kuhbander,Northwestern,Big Ten,11,17,18,94.4,10,14,71.4,47
74,Alex Kessman*,Pitt,ACC,13,29,30,96.7,22,31,71,95
75,Bijan Nichols*,Navy,American,13,61,62,98.4,12,17,70.6,97
76,James Stefanou,Colorado,Pac-12,9,26,27,96.3,12,17,70.6,62
77,Noah Ruggles*,North Carolina,ACC,13,45,45,100,19,27,70.4,102
78,Matt Coghlin*,Michigan State,Big Ten,12,31,31,100,22,32,68.8,97
79,Chandler Staton*,Appalachian State,Sun Belt,14,72,73,98.6,11,16,68.8,105
80,Alex Probert*,Liberty,Ind,13,50,53,94.3,13,19,68.4,89
81,James McCourt*,Illinois,Big Ten,13,42,43,97.7,13,19,68.4,81
82,Cooper Rothe*,Wyoming,MWC,13,37,40,92.5,15,22,68.2,82
83,Ryan Rimmler,Ball State,MAC,12,47,48,97.9,15,22,68.2,92
84,Vladmir Rivas*,Florida Atlantic,CUSA,14,56,60,93.3,17,25,68,107
85,Jake Oldroyd*,Brigham Young,Ind,13,40,41,97.6,16,24,66.7,88
86,Aaron Boumerhi*,Boston College,ACC,13,45,45,100,12,18,66.7,81
87,Brandon Wright*,Georgia State,Sun Belt,13,48,49,98,12,18,66.7,84
88,Collin Larsh*,Wisconsin,Big Ten,12,53,54,98.1,12,18,66.7,89
89,Alex McNulty*,Buffalo,MAC,10,40,42,95.2,10,15,66.7,70
90,Thiago Kapps*,Western Michigan,MAC,13,48,50,96,10,15,66.7,78
91,Evan Staley,West Virginia,Big 12,9,21,21,100,11,17,64.7,54
92,Greg Thomas*,California,Pac-12,12,33,34,97.1,11,17,64.7,66
93,Camden Lewis*,Oregon,Pac-12,14,57,59,96.6,9,14,64.3,84
94,Jacob Rainey,Tulsa,American,12,37,37,100,15,24,62.5,82
95,Clayton Harris,Connecticut,American,12,27,27,100,10,16,62.5,57
96,Dylan Brown,New Mexico State,Ind,12,32,32,100,10,16,62.5,62
97,B.T. Potter*,Clemson,ACC,15,79,79,100,13,21,61.9,118
98,Ryan Tice*,Central Michigan,MAC,13,47,47,100,13,21,61.9,86
99,Evan Davis,Toledo,MAC,11,34,34,100,8,13,61.5,58
100,Liam Jones,Kansas,Big 12,10,26,30,86.7,11,18,61.1,59
101,Cory Munson*,Western Kentucky,CUSA,13,39,40,97.5,17,28,60.7,90
102,Lucas Havrisik,Arizona,Pac-12,12,37,39,94.9,10,17,58.8,67
103,Ryan Meskell*,Hawaii,MWC,15,64,64,100,10,17,58.8,94
104,Frankie Onate,South Alabama,Sun Belt,9,17,18,94.4,7,12,58.3,38
105,Luke Logan,Ole Miss,SEC,12,35,38,92.1,11,19,57.9,68
106,Cesar R. Silva,Fresno State,MWC,12,44,44,100,12,21,57.1,80
107,JJ Molson,UCLA,Pac-12,12,40,40,100,8,14,57.1,64
108,Cayden Camper,Colorado State,MWC,8,18,18,100,7,13,53.8,39
109,Ricky Aguayo*,Florida State,ACC,12,41,41,100,7,14,50,62
